PERMNO,date,TICKER,COMNAM,PRC,CFACPR
11703,19840131,DD,DU PONT E I DE NEMOURS & CO,49.75000,6.322514
11703,19840229,DD,DU PONT E I DE NEMOURS & CO,47.37500,6.322514
11703,19840330,DD,DU PONT E I DE NEMOURS & CO,49.25000,6.322514
11703,19840430,DD,DU PONT E I DE NEMOURS & CO,50.50000,6.322514
11703,19840531,DD,DU PONT E I DE NEMOURS & CO,47.00000,6.322514
11703,19840629,DD,DU PONT E I DE NEMOURS & CO,45.62500,6.322514
11703,19840731,DD,DU PONT E I DE NEMOURS & CO,44.25000,6.322514
11703,19840831,DD,DU PONT E I DE NEMOURS & CO,50.00000,6.322514
11703,19840928,DD,DU PONT E I DE NEMOURS & CO,49.62500,6.322514
11703,19841031,DD,DU PONT E I DE NEMOURS & CO,46.87500,6.322514
11703,19841130,DD,DU PONT E I DE NEMOURS & CO,46.50000,6.322514
11703,19841231,DD,DU PONT E I DE NEMOURS & CO,49.50000,6.322514
11703,19850131,DD,DU PONT E I DE NEMOURS & CO,51.62500,6.322514
11703,19850228,DD,DU PONT E I DE NEMOURS & CO,52.50000,6.322514
11703,19850329,DD,DU PONT E I DE NEMOURS & CO,51.87500,6.322514
11703,19850430,DD,DU PONT E I DE NEMOURS & CO,55.50000,6.322514
11703,19850531,DD,DU PONT E I DE NEMOURS & CO,60.37500,6.322514
11703,19850628,DD,DU PONT E I DE NEMOURS & CO,58.12500,6.322514
11703,19850731,DD,DU PONT E I DE NEMOURS & CO,59.87500,6.322514
11703,19850830,DD,DU PONT E I DE NEMOURS & CO,57.75000,6.322514
11703,19850930,DD,DU PONT E I DE NEMOURS & CO,57.37500,6.322514
11703,19851031,DD,DU PONT E I DE NEMOURS & CO,62.25000,6.322514
11703,19851129,DD,DU PONT E I DE NEMOURS & CO,63.37500,6.322514
11703,19851231,DD,DU PONT E I DE NEMOURS & CO,67.87500,6.322514
11703,19860131,DD,DU PONT E I DE NEMOURS & CO,65.37500,6.322514
11703,19860228,DD,DU PONT E I DE NEMOURS & CO,72.00000,6.322514
11703,19860331,DD,DU PONT E I DE NEMOURS & CO,76.50000,6.322514
11703,19860430,DD,DU PONT E I DE NEMOURS & CO,76.00000,6.322514
11703,19860530,DD,DU PONT E I DE NEMOURS & CO,84.75000,6.322514
11703,19860630,DD,DU PONT E I DE NEMOURS & CO,83.25000,6.322514
11703,19860731,DD,DU PONT E I DE NEMOURS & CO,76.00000,6.322514
11703,19860829,DD,DU PONT E I DE NEMOURS & CO,82.37500,6.322514
11703,19860930,DD,DU PONT E I DE NEMOURS & CO,80.12500,6.322514
11703,19861031,DD,DU PONT E I DE NEMOURS & CO,86.00000,6.322514
11703,19861128,DD,DU PONT E I DE NEMOURS & CO,89.37500,6.322514
11703,19861231,DD,DU PONT E I DE NEMOURS & CO,84.00000,6.322514
11703,19870130,DD,DU PONT E I DE NEMOURS & CO,97.87500,6.322514
11703,19870227,DD,DU PONT E I DE NEMOURS & CO,100.00000,6.322514
11703,19870331,DD,DU PONT E I DE NEMOURS & CO,111.87500,6.322514
11703,19870430,DD,DU PONT E I DE NEMOURS & CO,111.75000,6.322514
11703,19870529,DD,DU PONT E I DE NEMOURS & CO,112.75000,6.322514
11703,19870630,DD,DU PONT E I DE NEMOURS & CO,120.00000,6.322514
11703,19870731,DD,DU PONT E I DE NEMOURS & CO,124.87500,6.322514
11703,19870831,DD,DU PONT E I DE NEMOURS & CO,124.12500,6.322514
11703,19870930,DD,DU PONT E I DE NEMOURS & CO,119.12500,6.322514
11703,19871030,DD,DU PONT E I DE NEMOURS & CO,90.25000,6.322514
11703,19871130,DD,DU PONT E I DE NEMOURS & CO,78.12500,6.322514
11703,19871231,DD,DU PONT E I DE NEMOURS & CO,87.37500,6.322514
11703,19880129,DD,DU PONT E I DE NEMOURS & CO,82.75000,6.322514
11703,19880229,DD,DU PONT E I DE NEMOURS & CO,86.50000,6.322514
11703,19880331,DD,DU PONT E I DE NEMOURS & CO,80.87500,6.322514
11703,19880429,DD,DU PONT E I DE NEMOURS & CO,85.75000,6.322514
11703,19880531,DD,DU PONT E I DE NEMOURS & CO,83.12500,6.322514
11703,19880630,DD,DU PONT E I DE NEMOURS & CO,92.87500,6.322514
11703,19880729,DD,DU PONT E I DE NEMOURS & CO,86.87500,6.322514
11703,19880831,DD,DU PONT E I DE NEMOURS & CO,79.75000,6.322514
11703,19880930,DD,DU PONT E I DE NEMOURS & CO,81.75000,6.322514
11703,19881031,DD,DU PONT E I DE NEMOURS & CO,81.00000,6.322514
11703,19881130,DD,DU PONT E I DE NEMOURS & CO,81.62500,6.322514
11703,19881230,DD,DU PONT E I DE NEMOURS & CO,88.25000,6.322514
11703,19890131,DD,DU PONT E I DE NEMOURS & CO,101.75000,6.322514
11703,19890228,DD,DU PONT E I DE NEMOURS & CO,94.87500,6.322514
11703,19890331,DD,DU PONT E I DE NEMOURS & CO,102.25000,6.322514
11703,19890428,DD,DU PONT E I DE NEMOURS & CO,110.00000,6.322514
11703,19890531,DD,DU PONT E I DE NEMOURS & CO,110.25000,6.322514
11703,19890630,DD,DU PONT E I DE NEMOURS & CO,108.75000,6.322514
11703,19890731,DD,DU PONT E I DE NEMOURS & CO,113.75000,6.322514
11703,19890831,DD,DU PONT E I DE NEMOURS & CO,117.87500,6.322514
11703,19890929,DD,DU PONT E I DE NEMOURS & CO,119.75000,6.322514
11703,19891031,DD,DU PONT E I DE NEMOURS & CO,115.00000,6.322514
11703,19891130,DD,DU PONT E I DE NEMOURS & CO,116.62500,6.322514
11703,19891229,DD,DU PONT E I DE NEMOURS & CO,123.00000,6.322514
14322,19791231,S,SEARS ROEBUCK & CO,18.00000,2.594058
14322,19800131,S,SEARS ROEBUCK & CO,17.12500,2.594058
14322,19800229,S,SEARS ROEBUCK & CO,16.37500,2.594058
14322,19800331,S,SEARS ROEBUCK & CO,16.25000,2.594058
14322,19800430,S,SEARS ROEBUCK & CO,16.12500,2.594058
14322,19800530,S,SEARS ROEBUCK & CO,16.62500,2.594058
14322,19800630,S,SEARS ROEBUCK & CO,17.00000,2.594058
14322,19800731,S,SEARS ROEBUCK & CO,18.62500,2.594058
14322,19800829,S,SEARS ROEBUCK & CO,17.50000,2.594058
14322,19800930,S,SEARS ROEBUCK & CO,16.75000,2.594058
14322,19801031,S,SEARS ROEBUCK & CO,15.87500,2.594058
14322,19801128,S,SEARS ROEBUCK & CO,15.25000,2.594058
14322,19801231,S,SEARS ROEBUCK & CO,15.25000,2.594058
14322,19810130,S,SEARS ROEBUCK & CO,15.25000,2.594058
14322,19810227,S,SEARS ROEBUCK & CO,15.25000,2.594058
14322,19810331,S,SEARS ROEBUCK & CO,18.37500,2.594058
14322,19810430,S,SEARS ROEBUCK & CO,19.25000,2.594058
14322,19810529,S,SEARS ROEBUCK & CO,18.87500,2.594058
14322,19810630,S,SEARS ROEBUCK & CO,19.25000,2.594058
14322,19810731,S,SEARS ROEBUCK & CO,18.25000,2.594058
14322,19810831,S,SEARS ROEBUCK & CO,16.37500,2.594058
14322,19810930,S,SEARS ROEBUCK & CO,16.12500,2.594058
14322,19811030,S,SEARS ROEBUCK & CO,16.75000,2.594058
14322,19811130,S,SEARS ROEBUCK & CO,17.00000,2.594058
14322,19811231,S,SEARS ROEBUCK & CO,16.12500,2.594058
14322,19820129,S,SEARS ROEBUCK & CO,17.25000,2.594058
14322,19820226,S,SEARS ROEBUCK & CO,16.75000,2.594058
14322,19820331,S,SEARS ROEBUCK & CO,19.00000,2.594058
14322,19820430,S,SEARS ROEBUCK & CO,19.50000,2.594058
14322,19820528,S,SEARS ROEBUCK & CO,18.87500,2.594058
14322,19820630,S,SEARS ROEBUCK & CO,19.37500,2.594058
14322,19820730,S,SEARS ROEBUCK & CO,19.12500,2.594058
14322,19820831,S,SEARS ROEBUCK & CO,22.75000,2.594058
14322,19820930,S,SEARS ROEBUCK & CO,22.37500,2.594058
14322,19821029,S,SEARS ROEBUCK & CO,28.62500,2.594058
14322,19821130,S,SEARS ROEBUCK & CO,31.50000,2.594058
14322,19821231,S,SEARS ROEBUCK & CO,30.12500,2.594058
14322,19830131,S,SEARS ROEBUCK & CO,28.62500,2.594058
14322,19830228,S,SEARS ROEBUCK & CO,31.00000,2.594058
14322,19830331,S,SEARS ROEBUCK & CO,35.12500,2.594058
14322,19830429,S,SEARS ROEBUCK & CO,41.75000,2.594058
14322,19830531,S,SEARS ROEBUCK & CO,38.50000,2.594058
14322,19830630,S,SEARS ROEBUCK & CO,41.37500,2.594058
14322,19830729,S,SEARS ROEBUCK & CO,42.50000,2.594058
14322,19830831,S,SEARS ROEBUCK & CO,37.50000,2.594058
14322,19830930,S,SEARS ROEBUCK & CO,36.50000,2.594058
14322,19831031,S,SEARS ROEBUCK & CO,39.37500,2.594058
14322,19831130,S,SEARS ROEBUCK & CO,41.12500,2.594058
14322,19831230,S,SEARS ROEBUCK & CO,37.12500,2.594058
14322,19840131,S,SEARS ROEBUCK & CO,36.87500,2.594058
14322,19840229,S,SEARS ROEBUCK & CO,34.25000,2.594058
14322,19840330,S,SEARS ROEBUCK & CO,33.87500,2.594058
14322,19840430,S,SEARS ROEBUCK & CO,34.00000,2.594058
14322,19840531,S,SEARS ROEBUCK & CO,30.12500,2.594058
14322,19840629,S,SEARS ROEBUCK & CO,31.50000,2.594058
14322,19840731,S,SEARS ROEBUCK & CO,32.87500,2.594058
14322,19840831,S,SEARS ROEBUCK & CO,35.75000,2.594058
14322,19840928,S,SEARS ROEBUCK & CO,34.62500,2.594058
14322,19841031,S,SEARS ROEBUCK & CO,32.37500,2.594058
14322,19841130,S,SEARS ROEBUCK & CO,31.12500,2.594058
14322,19841231,S,SEARS ROEBUCK & CO,31.75000,2.594058
14322,19850131,S,SEARS ROEBUCK & CO,36.00000,2.594058
14322,19850228,S,SEARS ROEBUCK & CO,35.62500,2.594058
14322,19850329,S,SEARS ROEBUCK & CO,34.12500,2.594058
14322,19850430,S,SEARS ROEBUCK & CO,33.87500,2.594058
14322,19850531,S,SEARS ROEBUCK & CO,38.62500,2.594058
14322,19850628,S,SEARS ROEBUCK & CO,38.37500,2.594058
14322,19850731,S,SEARS ROEBUCK & CO,35.75000,2.594058
14322,19850830,S,SEARS ROEBUCK & CO,34.37500,2.594058
14322,19850930,S,SEARS ROEBUCK & CO,32.87500,2.594058
14322,19851031,S,SEARS ROEBUCK & CO,34.50000,2.594058
14322,19851129,S,SEARS ROEBUCK & CO,36.87500,2.594058
14322,19851231,S,SEARS ROEBUCK & CO,39.00000,2.594058
14322,19860131,S,SEARS ROEBUCK & CO,39.50000,2.594058
14322,19860228,S,SEARS ROEBUCK & CO,44.50000,2.594058
14322,19860331,S,SEARS ROEBUCK & CO,49.50000,2.594058
14322,19860430,S,SEARS ROEBUCK & CO,43.50000,2.594058
14322,19860530,S,SEARS ROEBUCK & CO,47.62500,2.594058
14322,19860630,S,SEARS ROEBUCK & CO,48.50000,2.594058
14322,19860731,S,SEARS ROEBUCK & CO,43.00000,2.594058
14322,19860829,S,SEARS ROEBUCK & CO,45.75000,2.594058
14322,19860930,S,SEARS ROEBUCK & CO,40.00000,2.594058
14322,19861031,S,SEARS ROEBUCK & CO,43.37500,2.594058
14322,19861128,S,SEARS ROEBUCK & CO,44.00000,2.594058
14322,19861231,S,SEARS ROEBUCK & CO,39.75000,2.594058
14322,19870130,S,SEARS ROEBUCK & CO,45.50000,2.594058
14322,19870227,S,SEARS ROEBUCK & CO,51.25000,2.594058
14322,19870331,S,SEARS ROEBUCK & CO,50.87500,2.594058
14322,19870430,S,SEARS ROEBUCK & CO,52.87500,2.594058
14322,19870529,S,SEARS ROEBUCK & CO,51.00000,2.594058
14322,19870630,S,SEARS ROEBUCK & CO,50.62500,2.594058
14322,19870731,S,SEARS ROEBUCK & CO,53.25000,2.594058
14322,19870831,S,SEARS ROEBUCK & CO,56.50000,2.594058
14322,19870930,S,SEARS ROEBUCK & CO,51.87500,2.594058
14322,19871030,S,SEARS ROEBUCK & CO,36.12500,2.594058
14322,19871130,S,SEARS ROEBUCK & CO,32.25000,2.594058
14322,19871231,S,SEARS ROEBUCK & CO,33.50000,2.594058
14322,19880129,S,SEARS ROEBUCK & CO,34.12500,2.594058
14322,19880229,S,SEARS ROEBUCK & CO,37.75000,2.594058
14322,19880331,S,SEARS ROEBUCK & CO,35.75000,2.594058
14322,19880429,S,SEARS ROEBUCK & CO,35.87500,2.594058
14322,19880531,S,SEARS ROEBUCK & CO,34.75000,2.594058
14322,19880630,S,SEARS ROEBUCK & CO,36.87500,2.594058
14322,19880729,S,SEARS ROEBUCK & CO,36.75000,2.594058
14322,19880831,S,SEARS ROEBUCK & CO,35.50000,2.594058
14322,19880930,S,SEARS ROEBUCK & CO,38.12500,2.594058
14322,19881031,S,SEARS ROEBUCK & CO,41.75000,2.594058
14322,19881130,S,SEARS ROEBUCK & CO,39.87500,2.594058
14322,19881230,S,SEARS ROEBUCK & CO,40.87500,2.594058
14322,19890131,S,SEARS ROEBUCK & CO,42.50000,2.594058
14322,19890228,S,SEARS ROEBUCK & CO,41.25000,2.594058
14322,19890331,S,SEARS ROEBUCK & CO,43.62500,2.594058
14322,19890428,S,SEARS ROEBUCK & CO,45.87500,2.594058
14322,19890531,S,SEARS ROEBUCK & CO,47.12500,2.594058
14322,19890630,S,SEARS ROEBUCK & CO,43.75000,2.594058
14322,19890731,S,SEARS ROEBUCK & CO,46.62500,2.594058
14322,19890831,S,SEARS ROEBUCK & CO,45.37500,2.594058
14322,19890929,S,SEARS ROEBUCK & CO,42.25000,2.594058
14322,19891031,S,SEARS ROEBUCK & CO,38.50000,2.594058
14322,19891130,S,SEARS ROEBUCK & CO,38.75000,2.594058
